STATE,NAME,REGION,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,VMT 2015,VMT 2016,VMT 2017,VMT 2018,VMT 2019,VMT 2020,VMT 2021,Crashes2015,Crashes2016,Crashes2017,Crashes2018,Crashes2019,Crashes2020,Crashes2021,Crashbypop2015,Crashbypop2016,Crashbypop2017,Crashbypop2018,Crashbypop2019,Crashbypop2020,Crashbypop2021,CrashbyMVMT2015,CrashbyMVMT2016,CrashbyMVMT2017,CrashbyMVMT2018,CrashbyMVMT2019,CrashbyMVMT2020,CrashbyMVMT2021
1,Alabama,3,4852347,4863525,4874486,4887681,4903185,5031362,5049846,5074296,67257.00,69226.97,70677.25,71167.21,71734.63,67921.50,71892.03,784,979,864,876,856,852,885,6189.22,4967.85,5641.77,5579.54,5728.02,5905.35,5706.04,85.79,70.71,81.80,81.24,83.80,79.72,81.23
2,Alaska,4,737498,741456,739700,735139,731545,732923,734182,733583,5045.39,5258.56,5518.72,5487.32,5881.30,5305.89,5752.19,60,78,75,69,62,53,59,12291.63,9505.85,9862.67,10654.19,11799.11,13828.74,12443.76,84.09,67.42,73.58,79.53,94.86,100.11,97.49
4,Arizona,4,6829676,6941072,7044008,7158024,7278717,7179943,7264877,7359197,65044.86,65785.73,65069.58,66144.51,70280.65,65758.28,73759.96,811,856,917,918,908,966,1063,8421.30,8108.73,7681.58,7797.41,8016.21,7432.65,6834.32,80.20,76.85,70.96,72.05,77.40,68.07,69.39
5,Arkansas,3,2978048,2989918,3001345,3009733,3017804,3014195,3028122,3045637,34897.33,35754.80,36389.33,36675.31,37099.02,33918.76,38426.81,491,504,486,476,473,598,631,6065.27,5932.38,6175.61,6322.97,6380.14,5040.46,4798.93,71.07,70.94,74.88,77.05,78.43,56.72,60.90
6,California,4,38918045,39167117,39358497,39461588,39512223,39501653,39142991,39029342,335538.56,340114.94,343862.11,348795.71,340836.25,299811.68,310822.73,3123,3540,3569,3485,3427,3673,3983,12461.75,11064.16,11027.88,11323.27,11529.68,10754.60,9827.51,107.44,96.08,96.35,100.08,99.46,81.63,78.04
8,Colorado,4,5450623,5539215,5611885,5691287,5758736,5784865,5811297,5839926,50437.34,52151.61,53382.10,53953.61,54633.55,48642.05,53839.71,507,558,600,588,545,574,638,10750.74,9926.91,9353.14,9679.06,10566.49,10078.16,9108.62,99.48,93.46,88.97,91.76,100.25,84.74,84.39
9,Connecticut,1,3587122,3578141,3573297,3571520,3565287,3597362,3623355,3626205,31591.79,31638.57,31500.06,31595.71,31600.85,29844.94,28988.54,257,292,263,275,233,284,283,13957.67,12253.91,13586.68,12987.35,15301.66,12666.77,12803.37,122.93,108.35,119.77,114.89,135.63,105.09,102.43
10,Delaware,3,941252,948921,956823,965479,973764,992114,1004807,1018396,9930.61,10177.59,10466.91,10179.38,10245.16,8345.23,10152.42,127,116,112,104,122,104,132,7411.43,8180.35,8543.06,9283.45,7981.67,9539.56,7612.17,78.19,87.74,93.45,97.88,83.98,80.24,76.91
11,District of Columbia,3,675400,685815,694906,701547,705749,670868,668791,671803,3557.19,3621.96,3715.86,3690.68,3756.07,3030.47,3247.78,23,26,29,30,22,34,40,29365.22,26377.50,23962.28,23384.90,32079.50,19731.41,16719.78,154.66,139.31,128.13,123.02,170.73,89.13,81.19
12,Florida,3,20209042,20613477,20963613,21244317,21477737,21589602,21828069,22244823,206982.46,215550.75,218825.80,221815.74,226514.42,208075.92,217566.38,2699,2935,2925,2917,2952,3097,3451,7487.60,7023.33,7167.05,7282.93,7275.66,6971.13,6325.14,76.69,73.44,74.81,76.04,76.73,67.19,63.04
13,Georgia,3,10178447,10301890,10410330,10511131,10617423,10729828,10788029,10912876,118106.56,122802.19,124733.39,131455.53,133127.66,115966.83,120685.22,1329,1424,1440,1408,1378,1517,1670,7658.73,7234.47,7229.40,7465.29,7704.95,7073.06,6459.90,88.87,86.24,86.62,93.36,96.61,76.44,72.27
15,Hawaii,4,1422052,1427559,1424393,1420593,1415872,1451043,1447154,1440196,10300.53,10635.43,10748.62,10886.77,11024.00,8785.37,9971.96,85,109,96,110,102,81,94,16730.02,13096.87,14837.43,12914.48,13881.10,17914.11,15395.26,121.18,97.57,111.96,98.97,108.08,108.46,106.08
16,Idaho,4,1651059,1682380,1717715,1750536,1787065,1849202,1904314,1939033,16661.95,17198.72,17300.37,17709.15,18057.66,17406.42,19308.17,198,232,224,215,201,188,244,8338.68,7251.64,7668.37,8142.03,8890.87,9836.18,7804.57,84.15,74.13,77.23,82.37,89.84,92.59,79.13
17,Illinois,2,12858913,12820527,12778828,12723071,12671821,12786580,12686469,12582032,105223.41,107314.10,108011.26,107954.25,107524.64,94120.60,97529.58,914,1000,998,951,938,1086,1210,14068.83,12820.53,12804.44,13378.62,13509.40,11774.01,10484.69,115.12,107.31,108.23,113.52,114.63,86.67,80.60
18,Indiana,2,6608422,6634304,6658078,6695497,6732219,6788799,6813532,6833037,78818.67,83182.78,81751.86,81528.81,82719.12,76607.74,78640.40,752,776,838,776,752,815,863,8787.80,8549.36,7945.20,8628.22,8952.42,8329.81,7895.17,104.81,107.19,97.56,105.06,110.00,94.00,91.12
19,Iowa,2,3120960,3131371,3141550,3148618,3155070,3190571,3197689,3200517,33160.98,33336.97,33482.09,33282.40,33537.02,29751.50,33039.28,282,355,301,291,313,310,329,11067.23,8820.76,10437.04,10819.99,10080.10,10292.16,9719.42,117.59,93.91,111.24,114.37,107.15,95.97,100.42
20,Kansas,2,2909011,2910844,2908718,2911359,2913314,2937919,2937922,2937150,31379.12,32102.61,32258.19,32190.41,31842.52,27853.80,31692.83,322,381,407,367,361,382,381,9034.20,7640.01,7146.73,7932.86,8070.12,7690.89,7711.08,97.45,84.26,79.26,87.71,88.21,72.92,83.18
21,Kentucky,3,4425976,4438182,4452268,4461153,4467673,4507445,4506589,4512310,48674.70,49312.72,49239.33,49543.61,49410.33,46535.81,48111.37,694,763,721,664,667,709,734,6377.49,5816.75,6175.13,6718.60,6698.16,6357.47,6139.77,70.14,64.63,68.29,74.61,74.08,65.64,65.55
22,Louisiana,3,4664628,4678135,4670560,4659690,4648794,4651664,4627098,4590241,48180.25,49155.61,49220.90,50045.43,51360.30,48374.11,54727.66,698,704,705,719,681,762,887,6682.85,6645.08,6624.91,6480.79,6826.42,6104.55,5216.57,69.03,69.82,69.82,69.60,75.42,63.48,61.70
23,Maine,1,1328262,1331317,1334612,1339057,1344212,1363557,1377238,1385340,14629.44,14838.26,14738.12,14783.55,14871.47,13086.42,14559.83,144,150,163,127,143,151,135,9224.04,8875.45,8187.80,10543.76,9400.08,9030.18,10201.76,101.59,98.92,90.42,116.41,104.00,86.67,107.85
24,Maryland,3,5985562,6003323,6023868,6035802,6045680,6173205,6174610,6164660,57515.82,59137.33,60044.56,59775.44,60215.89,50885.12,56601.20,479,484,518,485,496,546,522,12495.95,12403.56,11629.09,12444.95,12188.87,11306.24,11828.75,120.07,122.18,115.92,123.25,121.40,93.20,108.43
25,Massachusetts,1,6794228,6823608,6859789,6882635,6892503,6995729,6989690,6981974,59257.48,61824.85,62660.41,66771.98,64889.78,54126.83,59114.98,327,356,333,338,323,327,397,20777.46,19167.44,20599.97,20362.83,21339.02,21393.67,17606.27,181.22,173.67,188.17,197.55,200.90,165.53,148.90
26,Michigan,2,9931715,9950571,9973114,9984072,9986857,10069577,10037504,10034113,97843.20,99432.54,101757.20,102397.56,102173.72,86546.99,96744.49,896,981,940,907,903,1013,1072,11084.50,10143.29,10609.70,11007.80,11059.64,9940.35,9363.34,109.20,101.36,108.25,112.90,113.15,85.44,90.25
27,Minnesota,2,5482032,5522744,5566230,5606249,5639632,5709852,5711471,5717184,57394.87,59028.80,59970.85,60438.31,60730.98,51619.44,57171.11,375,357,341,349,333,369,451,14618.75,15469.87,16323.26,16063.75,16935.83,15473.85,12664.02,153.05,165.35,175.87,173.18,182.38,139.89,126.77
28,Mississippi,3,2988471,2987938,2988510,2981020,2976149,2958141,2949586,2940057,39890.36,40754.71,40877.10,40730.44,41090.91,39665.09,40852.83,604,625,609,596,580,685,697,4947.80,4780.70,4907.24,5001.71,5131.29,4318.45,4231.83,66.04,65.21,67.12,68.34,70.85,57.91,58.61
29,Missouri,2,6071732,6087135,6106670,6121623,6137428,6153998,6169823,6177957,71917.52,74018.58,75911.32,76595.00,79168.25,72797.04,79790.93,803,872,865,848,819,914,931,7561.31,6980.66,7059.73,7218.90,7493.81,6733.04,6627.09,89.56,84.88,87.76,90.32,96.66,79.65,85.70
30,Montana,4,1030475,1040859,1052482,1060665,1068778,1087075,1106227,1122867,12345.07,12598.72,12644.67,12699.64,12891.95,12104.09,13481.67,204,171,169,167,166,190,222,5051.35,6086.89,6227.70,6351.29,6438.42,5721.45,4983.00,60.52,73.68,74.82,76.05,77.66,63.71,60.73
31,Nebraska,2,1891277,1905616,1915947,1925614,1934408,1962642,1963554,1967923,20100.96,20699.92,21002.01,20974.74,21241.79,19431.86,21209.67,218,194,210,201,212,217,192,8675.58,9822.76,9123.56,9580.17,9124.57,9044.43,10226.84,92.21,106.70,100.01,104.35,100.20,89.55,110.47
32,Nevada,4,2866939,2917563,2969905,3027341,3080156,3115648,3146402,3177772,25925.44,26787.99,27587.01,28319.01,28793.74,25231.35,27076.61,297,304,292,299,285,309,360,9652.99,9597.25,10170.91,10124.89,10807.56,10083.00,8740.01,87.29,88.12,94.48,94.71,101.03,81.65,75.21
33,New Hampshire,1,1336350,1342307,1348787,1353465,1359711,1378587,1387505,1395231,13093.74,13512.60,13681.38,13776.47,13828.12,11956.26,13129.81,103,130,98,134,90,98,106,12974.27,10325.44,13763.13,10100.49,15107.90,14067.21,13089.67,127.12,103.94,139.61,102.81,153.65,122.00,123.87
34,New Jersey,1,8867949,8870827,8885525,8886025,8882190,9271689,9267961,9261699,75393.42,77092.63,77508.60,77538.91,78205.30,66341.15,73672.76,521,570,591,524,524,549,669,17021.02,15562.85,15034.73,16958.06,16950.74,16888.32,13853.45,144.71,135.25,131.15,147.98,149.25,120.84,110.12
35,New Mexico,4,2089291,2091630,2091784,2092741,2096829,2118390,2116677,2113344,27435.42,27885.52,27835.85,27288.31,27772.08,23756.44,26823.40,269,361,341,351,369,365,427,7766.88,5793.99,6134.26,5962.23,5682.46,5803.81,4957.09,101.99,77.25,81.63,77.74,75.26,65.09,62.82
36,New York,1,19654666,19633428,19589572,19530351,19453561,20108296,19857492,19677151,121698.64,122336.68,123476.60,123510.40,123986.15,102476.87,106869.76,1061,981,939,910,879,958,1099,18524.66,20013.69,20862.16,21461.92,22131.47,20989.87,18068.69,114.70,124.71,131.50,135.73,141.05,106.97,97.24
37,North Carolina,3,10031646,10154788,10268233,10381615,10488084,10449445,10565885,10698973,111878.57,116748.68,119176.37,121127.25,122474.65,106342.37,117734.43,1275,1348,1306,1321,1358,1415,1535,7867.96,7533.23,7862.35,7858.91,7723.18,7384.77,6883.31,87.75,86.61,91.25,91.69,90.19,75.15,76.70
38,North Dakota,2,754066,754434,754942,758080,762062,779518,777934,779261,10036.22,9739.21,9716.84,9855.66,9826.07,8767.60,9255.67,111,102,106,95,91,96,85,6793.39,7396.41,7122.09,7979.79,8374.31,8119.98,9152.16,90.42,95.48,91.67,103.74,107.98,91.33,108.89
39,Ohio,2,11617527,11634370,11659650,11676341,11689100,11797517,11764342,11756058,113672.51,118607.62,119597.97,114474.44,114693.59,103114.94,112923.02,1029,1053,1094,996,1039,1154,1242,11290.11,11048.78,10657.82,11723.23,11250.34,10223.15,9472.10,110.47,112.64,109.32,114.93,110.39,89.35,90.92
40,Oklahoma,3,3909500,3926331,3931316,3940235,3956971,3964912,3991225,4019800,47713.00,49013.28,49402.26,45433.01,44648.24,42000.18,44759.76,590,628,613,603,584,600,681,6626.27,6252.12,6413.24,6534.39,6775.64,6608.19,5860.83,80.87,78.05,80.59,75.34,76.45,70.00,65.73
41,Oregon,4,4015792,4089976,4143625,4181886,4217737,4244795,4256301,4240137,35998.50,36719.19,36752.88,36848.42,35808.47,32297.98,36841.98,411,448,403,446,455,460,552,9770.78,9129.41,10281.95,9376.43,9269.75,9227.82,7710.69,87.59,81.96,91.20,82.62,78.70,70.21,66.74
42,Pennsylvania,1,12784826,12782275,12787641,12800922,12801989,12994440,13012059,12972008,100945.06,101362.49,101614.05,102109.45,102863.51,87982.49,102686.04,1102,1088,1083,1103,990,1060,1153,11601.48,11748.41,11807.61,11605.55,12931.30,12258.91,11285.39,91.60,93.16,93.83,92.57,103.90,83.00,89.06
44,Rhode Island,1,1056065,1056770,1055673,1058287,1059361,1096345,1096985,1093734,7832.56,7927.07,8000.98,8008.58,7580.83,6864.09,7526.31,41,48,77,56,53,66,61,25757.68,22016.04,13710.04,18897.98,19987.94,16611.29,17983.36,191.04,165.15,103.91,143.01,143.03,104.00,123.38
45,South Carolina,3,4891938,4957968,5021268,5084156,5148714,5131848,5193266,5282634,51726.05,54552.64,55497.24,56800.68,57939.40,53972.05,57491.95,911,941,925,969,927,964,1112,5369.86,5268.83,5428.40,5246.81,5554.17,5323.49,4670.20,56.78,57.97,60.00,58.62,62.50,55.99,51.70
46,South Dakota,2,853988,862996,872868,878698,884659,887799,896164,909824,9324.35,9506.53,9642.56,9719.41,9922.40,9742.51,9993.91,116,103,111,110,88,132,131,7361.97,8378.60,7863.68,7988.16,10052.94,6725.75,6840.95,80.38,92.30,86.87,88.36,112.75,73.81,76.29
47,Tennessee,3,6591170,6646010,6708799,6771631,6829174,6925619,6968351,7051339,76670.32,76883.75,82253.26,81321.49,82891.77,76392.47,82595.59,888,962,942,973,1041,1119,1229,7422.49,6908.53,7121.87,6959.54,6560.21,6189.11,5669.94,86.34,79.92,87.32,83.58,79.63,68.27,67.21
48,Texas,3,27470056,27914410,28295273,28628666,28995881,29232474,29558864,30029572,258122.31,271262.84,272980.91,282037.27,288227.24,260581.96,285027.66,3190,3427,3352,3311,3296,3522,4068,8611.30,8145.44,8441.31,8646.53,8797.29,8299.96,7266.19,80.92,79.15,81.44,85.18,87.45,73.99,70.07
49,Utah,4,2981835,3041868,3101042,3153550,3205958,3283785,3339113,3380800,29603.66,31448.90,31475.03,32069.29,32910.68,30251.18,33637.95,258,259,247,237,225,256,293,11557.50,11744.66,12554.83,13306.12,14248.70,12827.29,11396.29,114.74,121.42,127.43,135.31,146.27,118.17,114.81
50,Vermont,1,625216,623657,624344,624358,623989,642893,646972,647064,7313.84,7381.89,7424.42,7346.35,7345.63,6006.98,6625.05,50,57,63,60,44,58,69,12504.32,10941.35,9910.22,10405.97,14181.57,11084.36,9376.41,146.28,129.51,117.85,122.44,166.95,103.57,96.02
51,Virginia,3,8361808,8410106,8463587,8501286,8535519,8636471,8657365,8683619,82624.53,84462.67,85262.94,85336.10,85432.48,76110.27,80102.47,712,722,783,778,774,796,906,11744.11,11648.35,10809.18,10927.10,11027.80,10849.84,9555.59,116.05,116.98,108.89,109.69,110.38,95.62,88.41
53,Washington,4,7163657,7294771,7423362,7523869,7614893,7724031,7740745,7785786,59652.50,61017.81,61419.92,62366.66,62529.64,53658.24,57796.60,499,504,534,490,513,539,603,14356.03,14473.75,13901.43,15354.83,14843.85,14330.30,12837.06,119.54,121.07,115.02,127.28,121.89,99.55,95.85
54,West Virginia,3,1842050,1831023,1817004,1804291,1792147,1791420,1785526,1775156,19826.64,19539.44,19072.34,19447.32,19076.56,16054.14,16079.27,246,250,280,265,247,249,257,7488.01,7324.09,6489.30,6808.65,7255.66,7194.46,6947.57,80.60,78.16,68.12,73.39,77.23,64.47,62.57
55,Wisconsin,2,5760940,5772628,5790186,5807406,5822434,5896271,5880101,5892539,62073.37,64046.41,65323.71,65885.43,66347.62,57599.94,64983.28,523,544,557,531,527,559,572,11015.18,10611.45,10395.31,10936.73,11048.26,10547.89,10279.90,118.69,117.73,117.28,124.08,125.90,103.04,113.61
56,Wyoming,4,585613,584215,578931,577601,578759,577605,579483,581381,9597.04,9322.54,9784.67,10438.44,10207.61,9800.32,11096.52,129,100,105,100,120,114,102,4539.64,5842.15,5513.63,5776.01,4822.99,5066.71,5681.21,74.40,93.23,93.19,104.38,85.06,85.97,108.79
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
